#           eng            dos          occup          e_sum
       -3.32000        1.42693        1.68084        9.08064
       -3.28000        1.41476        1.73766        9.44991
       -3.24000        1.40649        1.79407        9.81888
       -3.20000        1.39869        1.85018       10.18808
       -3.16000        1.38792        1.90593       10.55710
       -3.12000        1.37267        1.96115       10.92483
       -3.08000        1.35537        2.01571       11.29029
       -3.04000        1.34150        2.06963       11.65363
       -3.00000        1.33603        2.12315       12.01650
       -2.96000        1.34155        2.17666       12.38159
       -2.92000        1.35956        2.23064       12.75212
       -2.88000        1.39175        2.28561       13.13184
       -2.84000        1.43824        2.34217       13.52485
       -2.80000        1.49481        2.40081       13.93477
       -2.76000        1.55359        2.46179       14.36345
       -2.72000        1.60730        2.52503       14.81054
       -2.68000        1.65281        2.59026       15.27419
       -2.64000        1.69019        2.65715       15.75220
       -2.60000        1.71883        2.72536       16.24234
       -2.56000        1.73580        2.79450       16.74176
       -2.52000        1.73929        2.86404       17.24679
       -2.48000        1.73345        2.93351       17.75397
       -2.44000        1.72788        3.00272       18.26201
       -2.40000        1.73034        3.07185       18.77233
       -2.36000        1.74029        3.14125       19.28745
       -2.32000        1.75109        3.21109       19.80862
       -2.28000        1.75959        3.28130       20.33542
       -2.24000        1.77254        3.35191       20.86802
       -2.20000        1.80165        3.42332       21.40972
       -2.16000        1.85078        3.49632       21.96648
       -2.12000        1.90726        3.57149       22.54295
       -2.08000        1.94624        3.64866       23.13765
       -2.04000        1.94607        3.72666       23.74146
       -2.00000        1.90211        3.80376       24.34095
       -1.96000        1.82868        3.87843       24.92434
       -1.92000        1.74896        3.94997       25.48597
       -1.88000        1.68214        4.01853       26.02704
       -1.84000        1.63705        4.08483       26.55319
       -1.80000        1.61412        4.14979       27.07139
       -1.76000        1.61138        4.21423       27.58830
       -1.72000        1.62861        4.27896       28.11029
       -1.68000        1.66645        4.34480       28.64399
       -1.64000        1.72307        4.41253       29.19598
       -1.60000        1.79302        4.48282       29.77170
       -1.56000        1.86976        4.55606       30.37457
       -1.52000        1.94895        4.63243       31.00623
       -1.48000        2.02933        4.71199       31.66746
       -1.44000        2.11166        4.79480       32.35899
       -1.40000        2.19761        4.88097       33.08202
       -1.36000        2.28861        4.97068       33.83833
       -1.32000        2.38351        5.06412       34.62983
       -1.28000        2.47636        5.16134       35.45720
       -1.24000        2.55769        5.26207       36.31838
       -1.20000        2.61978        5.36569       37.20817
       -1.16000        2.66218        5.47139       38.11982
       -1.12000        2.69294        5.57851       39.04792
       -1.08000        2.72456        5.68684       39.99081
       -1.04000        2.76734        5.79663       40.95094
       -1.00000        2.82397        5.90841       41.93310
       -0.96000        2.88890        6.02266       42.94151
       -0.92000        2.95353        6.13952       43.97767
       -0.88000        3.01276        6.25887       45.04058
       -0.84000        3.06594        6.38046       46.12831
       -0.80000        3.11023        6.50403       47.23852
       -0.76000        3.13321        6.62900       48.36616
       -0.72000        3.11258        6.75410       49.49958
       -0.68000        3.02426        6.87710       50.61819
       -0.64000        2.85375        6.99494       51.69382
       -0.60000        2.60520        7.10435       52.69601
       -0.56000        2.30403        7.20265       53.59963
       -0.52000        1.99044        7.28850       54.39185
       -0.48000        1.70560        7.36227       55.07531
       -0.44000        1.47827        7.42573       55.66595
       -0.40000        1.31980        7.48146       56.18728
       -0.36000        1.22759        7.53220       56.66447
       -0.32000        1.19058        7.58040       57.12020
       -0.28000        1.19263        7.62797       57.57215
       -0.24000        1.21540        7.67609       58.03150
       -0.20000        1.24409        7.72527       58.50304
       -0.16000        1.27375        7.77562       58.98775
       -0.12000        1.31167        7.82728       59.48719
       -0.08000        1.37388        7.88088       60.00776
       -0.04000        1.47903        7.93776       60.56288
        0.00000        1.64390        8.00000       61.17318
        0.04000        1.88053        8.07024       61.86523
        0.08000        2.19095        8.15144       62.66887
        0.12000        2.55774        8.24628       63.61139
        0.16000        2.93742        8.35624       64.70808
        0.20000        3.26839        8.48062       65.95272
        0.24000        3.49536        8.61630       67.31460
        0.28000        3.59571        8.75854       68.74663
        0.32000        3.58781        8.90251       70.20081
        0.36000        3.51615        9.04471       71.64234
        0.40000        3.42644        9.18357       73.05519
        0.44000        3.34829        9.31899       74.43872
        0.48000        3.29239        9.45173       75.80026
        0.52000        3.25786        9.58267       77.14881
        0.56000        3.24119        9.71260       78.49227
        0.60000        3.24048        9.84218       79.83750
        0.64000        3.25409        9.97203       81.19084
        0.68000        3.27755       10.10264       82.55744
        0.72000        3.30373       10.23427       83.93997
        0.76000        3.32706       10.36690       85.33828
        0.80000        3.34705       10.50039       86.75097
        0.84000        3.36653       10.63466       88.17729
        0.88000        3.38577       10.76971       89.61732
        0.92000        3.39918       10.90544       91.06997
        0.96000        3.39893       11.04146       92.53099
        1.00000        3.38213       11.17713       93.99357
        1.04000        3.35431       11.31188       95.45148
        1.08000        3.32556       11.44547       96.90213
        1.12000        3.30325       11.57802       98.34690
        1.16000        3.28782       11.70982       99.78888
