#           eng            dos          occup          e_sum
       -3.32000        1.45379        1.67719        8.26389
       -3.28000        1.29502        1.73210        8.59056
       -3.24000        1.18570        1.78146        8.88651
       -3.20000        1.16359        1.82814        9.16902
       -3.16000        1.21539        1.87556        9.45856
       -3.12000        1.27969        1.92555        9.76591
       -3.08000        1.28483        1.97713       10.08453
       -3.04000        1.19660        2.02706       10.39411
       -3.00000        1.03842        2.07190       10.67318
       -2.96000        0.87071        2.11001       10.91153
       -2.92000        0.75162        2.14222       11.11452
       -2.88000        0.71295        2.17122       11.29907
       -2.84000        0.76465        2.20047       11.48718
       -2.80000        0.91307        2.23368       11.70303
       -2.76000        1.16698        2.27492       11.97333
       -2.72000        1.52284        2.32841       12.32631
       -2.68000        1.94637        2.39767       12.78572
       -2.64000        2.37352        2.48418       13.36210
       -2.60000        2.73353        2.58664       14.04754
       -2.56000        2.97458        2.70126       14.81730
       -2.52000        3.07365        2.82271       15.63634
       -2.48000        3.03293        2.94528       16.46653
       -2.44000        2.87856        3.06381       17.27306
       -2.40000        2.66504        3.17476       18.03177
       -2.36000        2.46654        3.27722       18.73650
       -2.32000        2.34266        3.37311       19.40041
       -2.28000        2.30334        3.46579       20.04661
       -2.24000        2.31282        3.55802       20.69388
       -2.20000        2.33240        3.65093       21.34963
       -2.16000        2.35354        3.74463       22.01474
       -2.12000        2.38727        3.83939       22.69129
       -2.08000        2.43468        3.93580       23.38362
       -2.04000        2.48301        4.03417       24.09394
       -2.00000        2.52890        4.13440       24.82165
       -1.96000        2.59099        4.23670       25.56865
       -1.92000        2.68982        4.34218       26.34344
       -1.88000        2.81628        4.45227       27.15668
       -1.84000        2.92407        4.56724       28.01034
       -1.80000        2.95641        4.68518       28.89002
       -1.76000        2.88283        4.80232       29.76747
       -1.72000        2.71518        4.91453       30.61160
       -1.68000        2.49300        5.01881       31.39951
       -1.64000        2.25498        5.11377       32.12057
       -1.60000        2.02064        5.19926       32.77290
       -1.56000        1.79337        5.27552       33.35766
       -1.52000        1.57628        5.34286       33.87662
       -1.48000        1.38257        5.40193       34.33413
       -1.44000        1.22936        5.45401       34.73979
       -1.40000        1.12216        5.50090       35.10715
       -1.36000        1.04867        5.54424       35.44867
       -1.32000        0.99018        5.58499       35.77154
       -1.28000        0.93651        5.62351       36.07830
       -1.24000        0.88650        5.65996       36.37002
       -1.20000        0.83665        5.69444       36.64731
       -1.16000        0.77659        5.72676       36.90840
       -1.12000        0.69942        5.75633       37.14830
       -1.08000        0.61362        5.78259       37.36218
       -1.04000        0.54168        5.80561       37.55062
       -1.00000        0.50690        5.82642       37.72217
       -0.96000        0.52306        5.84684       37.89171
       -0.92000        0.59485        5.86901       38.07720
       -0.88000        0.72367        5.89519       38.29770
       -0.84000        0.90838        5.92765       38.57266
       -0.80000        1.13728        5.96846       38.91988
       -0.76000        1.37844        6.01881       39.34993
       -0.72000        1.58228        6.07823       39.85912
       -0.68000        1.70535        6.14430       40.42684
       -0.64000        1.74336        6.21350       41.02351
       -0.60000        1.74273        6.28324       41.62715
       -0.56000        1.77172        6.35333       42.23696
       -0.52000        1.87194        6.42595       42.87235
       -0.48000        2.03293        6.50391       43.55807
       -0.44000        2.21124        6.58881       44.30825
       -0.40000        2.37357        6.68058       45.12248
       -0.36000        2.52662        6.77856       45.99558
       -0.32000        2.70992        6.88312       46.93165
       -0.28000        2.95590        6.99621       47.94916
       -0.24000        3.24870        7.12024       49.07016
       -0.20000        3.52163        7.25585       50.30084
       -0.16000        3.70276        7.40072       51.62036
       -0.12000        3.76826        7.55050       52.98937
       -0.08000        3.75461        7.70111       54.37135
       -0.04000        3.72802        7.85070       55.74971
        0.00000        3.74914        8.00000       57.13192
        0.04000        3.85616        8.15179       58.54398
        0.08000        4.05383        8.30972       60.02038
        0.12000        4.29839        8.47674       61.58872
        0.16000        4.49423        8.65296       63.24984
        0.20000        4.52268        8.83404       64.96244
        0.24000        4.29660        9.01134       66.64405
        0.28000        3.81156        9.17426       68.19320
        0.32000        3.16274        9.31405       69.52572
        0.36000        2.51204        9.42726       70.60830
        0.40000        2.01599        9.51711       71.47127
        0.44000        1.75362        9.59170       72.19209
        0.48000        1.70176        9.66024       72.85886
        0.52000        1.77288        9.72948       73.53650
        0.56000        1.88088        9.80254       74.25465
        0.60000        1.97979        9.87982       75.01727
        0.64000        2.05271        9.96058       75.81718
        0.68000        2.08090       10.04344       76.64083
        0.72000        2.03746       10.12609       77.46490
        0.76000        1.91065       10.20531       78.25726
        0.80000        1.72087       10.27809       78.98736
        0.84000        1.50717       10.34267       79.63734
        0.88000        1.30144       10.39878       80.20418
        0.92000        1.11889       10.44710       80.69415
        0.96000        0.96547       10.48868       81.11754
        1.00000        0.84357       10.52476       81.48641
        1.04000        0.75021       10.55655       81.81289
        1.08000        0.67618       10.58503       82.10659
        1.12000        0.61067       10.61076       82.37290
        1.16000        0.54571       10.63389       82.61327
